Question ID,Category,Question,Answer,Answer Meaning,Patient Status,Target
Q0016,Domestic Violence / Physical Abuse,Has your partner ever physically restrained you against your will without explanation?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0017,Domestic Violence / Physical Abuse,Has your partner ever physically restrained you against your will within your household?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0017,Domestic Violence / Physical Abuse,Has your partner ever physically restrained you against your will within your household?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0017,Domestic Violence / Physical Abuse,Has your partner ever physically restrained you against your will within your household?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0018,Domestic Violence / Physical Abuse,Has your partner ever physically restrained you against your will as a pattern of behavior?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0018,Domestic Violence / Physical Abuse,Has your partner ever physically restrained you against your will as a pattern of behavior?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0018,Domestic Violence / Physical Abuse,Has your partner ever physically restrained you against your will as a pattern of behavior?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0019,Domestic Violence / Physical Abuse,Has your partner ever physically restrained you against your will during pregnancy?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0019,Domestic Violence / Physical Abuse,Has your partner ever physically restrained you against your will during pregnancy?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0019,Domestic Violence / Physical Abuse,Has your partner ever physically restrained you against your will during pregnancy?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0020,Domestic Violence / Physical Abuse,Has your partner ever physically restrained you against your will in front of children?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0020,Domestic Violence / Physical Abuse,Has your partner ever physically restrained you against your will in front of children?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0020,Domestic Violence / Physical Abuse,Has your partner ever physically restrained you against your will in front of children?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0021,Domestic Violence / Physical Abuse,Do you have injuries that you are afraid to explain,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0021,Domestic Violence / Physical Abuse,Do you have injuries that you are afraid to explain,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0021,Domestic Violence / Physical Abuse,Do you have injuries that you are afraid to explain,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0022,Domestic Violence / Physical Abuse,Do you have injuries that you are afraid to explain in the past year?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0022,Domestic Violence / Physical Abuse,Do you have injuries that you are afraid to explain in the past year?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0022,Domestic Violence / Physical Abuse,Do you have injuries that you are afraid to explain in the past year?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0023,Domestic Violence / Physical Abuse,Do you have injuries that you are afraid to explain due to family pressure?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0023,Domestic Violence / Physical Abuse,Do you have injuries that you are afraid to explain due to family pressure?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0023,Domestic Violence / Physical Abuse,Do you have injuries that you are afraid to explain due to family pressure?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0024,Domestic Violence / Physical Abuse,Do you have injuries that you are afraid to explain by someone you trust?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0024,Domestic Violence / Physical Abuse,Do you have injuries that you are afraid to explain by someone you trust?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0024,Domestic Violence / Physical Abuse,Do you have injuries that you are afraid to explain by someone you trust?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0025,Domestic Violence / Physical Abuse,Do you have injuries that you are afraid to explain repeatedly?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0025,Domestic Violence / Physical Abuse,Do you have injuries that you are afraid to explain repeatedly?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0025,Domestic Violence / Physical Abuse,Do you have injuries that you are afraid to explain repeatedly?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0026,Domestic Violence / Physical Abuse,Do you have injuries that you are afraid to explain without explanation?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0026,Domestic Violence / Physical Abuse,Do you have injuries that you are afraid to explain without explanation?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0026,Domestic Violence / Physical Abuse,Do you have injuries that you are afraid to explain without explanation?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0027,Domestic Violence / Physical Abuse,Do you have injuries that you are afraid to explain within your household?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0027,Domestic Violence / Physical Abuse,Do you have injuries that you are afraid to explain within your household?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0027,Domestic Violence / Physical Abuse,Do you have injuries that you are afraid to explain within your household?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0028,Domestic Violence / Physical Abuse,Do you have injuries that you are afraid to explain as a pattern of behavior?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0028,Domestic Violence / Physical Abuse,Do you have injuries that you are afraid to explain as a pattern of behavior?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0028,Domestic Violence / Physical Abuse,Do you have injuries that you are afraid to explain as a pattern of behavior?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0029,Domestic Violence / Physical Abuse,Do you have injuries that you are afraid to explain during pregnancy?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0029,Domestic Violence / Physical Abuse,Do you have injuries that you are afraid to explain during pregnancy?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0029,Domestic Violence / Physical Abuse,Do you have injuries that you are afraid to explain during pregnancy?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0030,Domestic Violence / Physical Abuse,Do you have injuries that you are afraid to explain in front of children?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0030,Domestic Violence / Physical Abuse,Do you have injuries that you are afraid to explain in front of children?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0030,Domestic Violence / Physical Abuse,Do you have injuries that you are afraid to explain in front of children?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0031,Domestic Violence / Physical Abuse,Has someone in your household thrown objects at you,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0031,Domestic Violence / Physical Abuse,Has someone in your household thrown objects at you,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0031,Domestic Violence / Physical Abuse,Has someone in your household thrown objects at you,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0032,Domestic Violence / Physical Abuse,Has someone in your household thrown objects at you in the past year?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0032,Domestic Violence / Physical Abuse,Has someone in your household thrown objects at you in the past year?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0032,Domestic Violence / Physical Abuse,Has someone in your household thrown objects at you in the past year?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0033,Domestic Violence / Physical Abuse,Has someone in your household thrown objects at you due to family pressure?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0033,Domestic Violence / Physical Abuse,Has someone in your household thrown objects at you due to family pressure?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0033,Domestic Violence / Physical Abuse,Has someone in your household thrown objects at you due to family pressure?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0034,Domestic Violence / Physical Abuse,Has someone in your household thrown objects at you by someone you trust?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0034,Domestic Violence / Physical Abuse,Has someone in your household thrown objects at you by someone you trust?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0034,Domestic Violence / Physical Abuse,Has someone in your household thrown objects at you by someone you trust?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0035,Domestic Violence / Physical Abuse,Has someone in your household thrown objects at you repeatedly?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0035,Domestic Violence / Physical Abuse,Has someone in your household thrown objects at you repeatedly?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0035,Domestic Violence / Physical Abuse,Has someone in your household thrown objects at you repeatedly?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0036,Domestic Violence / Physical Abuse,Has someone in your household thrown objects at you without explanation?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0036,Domestic Violence / Physical Abuse,Has someone in your household thrown objects at you without explanation?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0036,Domestic Violence / Physical Abuse,Has someone in your household thrown objects at you without explanation?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0037,Domestic Violence / Physical Abuse,Has someone in your household thrown objects at you within your household?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0037,Domestic Violence / Physical Abuse,Has someone in your household thrown objects at you within your household?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0037,Domestic Violence / Physical Abuse,Has someone in your household thrown objects at you within your household?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0038,Domestic Violence / Physical Abuse,Has someone in your household thrown objects at you as a pattern of behavior?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0038,Domestic Violence / Physical Abuse,Has someone in your household thrown objects at you as a pattern of behavior?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0038,Domestic Violence / Physical Abuse,Has someone in your household thrown objects at you as a pattern of behavior?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0039,Domestic Violence / Physical Abuse,Has someone in your household thrown objects at you during pregnancy?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0039,Domestic Violence / Physical Abuse,Has someone in your household thrown objects at you during pregnancy?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0039,Domestic Violence / Physical Abuse,Has someone in your household thrown objects at you during pregnancy?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0040,Domestic Violence / Physical Abuse,Has someone in your household thrown objects at you in front of children?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0040,Domestic Violence / Physical Abuse,Has someone in your household thrown objects at you in front of children?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0040,Domestic Violence / Physical Abuse,Has someone in your household thrown objects at you in front of children?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0041,Domestic Violence / Physical Abuse,Have you been denied medical care after an injury,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0041,Domestic Violence / Physical Abuse,Have you been denied medical care after an injury,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0041,Domestic Violence / Physical Abuse,Have you been denied medical care after an injury,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0042,Domestic Violence / Physical Abuse,Have you been denied medical care after an injury in the past year?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0042,Domestic Violence / Physical Abuse,Have you been denied medical care after an injury in the past year?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0042,Domestic Violence / Physical Abuse,Have you been denied medical care after an injury in the past year?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0043,Domestic Violence / Physical Abuse,Have you been denied medical care after an injury due to family pressure?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0043,Domestic Violence / Physical Abuse,Have you been denied medical care after an injury due to family pressure?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0043,Domestic Violence / Physical Abuse,Have you been denied medical care after an injury due to family pressure?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0044,Domestic Violence / Physical Abuse,Have you been denied medical care after an injury by someone you trust?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0044,Domestic Violence / Physical Abuse,Have you been denied medical care after an injury by someone you trust?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0044,Domestic Violence / Physical Abuse,Have you been denied medical care after an injury by someone you trust?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0045,Domestic Violence / Physical Abuse,Have you been denied medical care after an injury repeatedly?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0045,Domestic Violence / Physical Abuse,Have you been denied medical care after an injury repeatedly?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0045,Domestic Violence / Physical Abuse,Have you been denied medical care after an injury repeatedly?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0046,Domestic Violence / Physical Abuse,Have you been denied medical care after an injury without explanation?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0046,Domestic Violence / Physical Abuse,Have you been denied medical care after an injury without explanation?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0046,Domestic Violence / Physical Abuse,Have you been denied medical care after an injury without explanation?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0047,Domestic Violence / Physical Abuse,Have you been denied medical care after an injury within your household?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0047,Domestic Violence / Physical Abuse,Have you been denied medical care after an injury within your household?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0047,Domestic Violence / Physical Abuse,Have you been denied medical care after an injury within your household?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0048,Domestic Violence / Physical Abuse,Have you been denied medical care after an injury as a pattern of behavior?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0048,Domestic Violence / Physical Abuse,Have you been denied medical care after an injury as a pattern of behavior?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0048,Domestic Violence / Physical Abuse,Have you been denied medical care after an injury as a pattern of behavior?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0049,Domestic Violence / Physical Abuse,Have you been denied medical care after an injury during pregnancy?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0049,Domestic Violence / Physical Abuse,Have you been denied medical care after an injury during pregnancy?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0049,Domestic Violence / Physical Abuse,Have you been denied medical care after an injury during pregnancy?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0050,Domestic Violence / Physical Abuse,Have you been denied medical care after an injury in front of children?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0050,Domestic Violence / Physical Abuse,Have you been denied medical care after an injury in front of children?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0050,Domestic Violence / Physical Abuse,Have you been denied medical care after an injury in front of children?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0051,Domestic Violence / Emotional Abuse,Are you often insulted or belittled by someone close to you,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0051,Domestic Violence / Emotional Abuse,Are you often insulted or belittled by someone close to you,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0051,Domestic Violence / Emotional Abuse,Are you often insulted or belittled by someone close to you,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0052,Domestic Violence / Emotional Abuse,Are you often insulted or belittled by someone close to you in the past year?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0052,Domestic Violence / Emotional Abuse,Are you often insulted or belittled by someone close to you in the past year?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0052,Domestic Violence / Emotional Abuse,Are you often insulted or belittled by someone close to you in the past year?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0053,Domestic Violence / Emotional Abuse,Are you often insulted or belittled by someone close to you due to family pressure?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0053,Domestic Violence / Emotional Abuse,Are you often insulted or belittled by someone close to you due to family pressure?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0053,Domestic Violence / Emotional Abuse,Are you often insulted or belittled by someone close to you due to family pressure?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0054,Domestic Violence / Emotional Abuse,Are you often insulted or belittled by someone close to you by someone you trust?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0054,Domestic Violence / Emotional Abuse,Are you often insulted or belittled by someone close to you by someone you trust?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0054,Domestic Violence / Emotional Abuse,Are you often insulted or belittled by someone close to you by someone you trust?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0055,Domestic Violence / Emotional Abuse,Are you often insulted or belittled by someone close to you repeatedly?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0055,Domestic Violence / Emotional Abuse,Are you often insulted or belittled by someone close to you repeatedly?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0055,Domestic Violence / Emotional Abuse,Are you often insulted or belittled by someone close to you repeatedly?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0056,Domestic Violence / Emotional Abuse,Are you often insulted or belittled by someone close to you without explanation?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0056,Domestic Violence / Emotional Abuse,Are you often insulted or belittled by someone close to you without explanation?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0056,Domestic Violence / Emotional Abuse,Are you often insulted or belittled by someone close to you without explanation?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0057,Domestic Violence / Emotional Abuse,Are you often insulted or belittled by someone close to you within your household?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0057,Domestic Violence / Emotional Abuse,Are you often insulted or belittled by someone close to you within your household?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0057,Domestic Violence / Emotional Abuse,Are you often insulted or belittled by someone close to you within your household?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0058,Domestic Violence / Emotional Abuse,Are you often insulted or belittled by someone close to you as a pattern of behavior?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0058,Domestic Violence / Emotional Abuse,Are you often insulted or belittled by someone close to you as a pattern of behavior?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0058,Domestic Violence / Emotional Abuse,Are you often insulted or belittled by someone close to you as a pattern of behavior?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0059,Domestic Violence / Emotional Abuse,Are you often insulted or belittled by someone close to you during pregnancy?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0059,Domestic Violence / Emotional Abuse,Are you often insulted or belittled by someone close to you during pregnancy?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0059,Domestic Violence / Emotional Abuse,Are you often insulted or belittled by someone close to you during pregnancy?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0060,Domestic Violence / Emotional Abuse,Are you often insulted or belittled by someone close to you in front of children?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0060,Domestic Violence / Emotional Abuse,Are you often insulted or belittled by someone close to you in front of children?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0060,Domestic Violence / Emotional Abuse,Are you often insulted or belittled by someone close to you in front of children?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0061,Domestic Violence / Emotional Abuse,Do you feel afraid to speak your mind at home,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0061,Domestic Violence / Emotional Abuse,Do you feel afraid to speak your mind at home,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0061,Domestic Violence / Emotional Abuse,Do you feel afraid to speak your mind at home,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0062,Domestic Violence / Emotional Abuse,Do you feel afraid to speak your mind at home in the past year?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0062,Domestic Violence / Emotional Abuse,Do you feel afraid to speak your mind at home in the past year?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0062,Domestic Violence / Emotional Abuse,Do you feel afraid to speak your mind at home in the past year?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0063,Domestic Violence / Emotional Abuse,Do you feel afraid to speak your mind at home due to family pressure?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0063,Domestic Violence / Emotional Abuse,Do you feel afraid to speak your mind at home due to family pressure?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0063,Domestic Violence / Emotional Abuse,Do you feel afraid to speak your mind at home due to family pressure?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0064,Domestic Violence / Emotional Abuse,Do you feel afraid to speak your mind at home by someone you trust?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0064,Domestic Violence / Emotional Abuse,Do you feel afraid to speak your mind at home by someone you trust?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0064,Domestic Violence / Emotional Abuse,Do you feel afraid to speak your mind at home by someone you trust?,2,Uncertain - Further assessment needed,Further Session Needed,2
