Question ID,Category,Question,Answer,Answer Meaning,Patient Status,Target
Q0017,Crisis Intervention,"In general, do you have the means to carry out self-harm?",0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0017,Crisis Intervention,"In general, do you have the means to carry out self-harm?",1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0017,Crisis Intervention,"In general, do you have the means to carry out self-harm?",2,Uncertain - Further assessment needed,Further Session Needed,2
Q0018,Crisis Intervention,How severely has there been a major life disruption in the past week?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0018,Crisis Intervention,How severely has there been a major life disruption in the past week?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0018,Crisis Intervention,How severely has there been a major life disruption in the past week?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0019,Crisis Intervention,"Over the past few months, are you willing to accept help right now?",0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0019,Crisis Intervention,"Over the past few months, are you willing to accept help right now?",1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0019,Crisis Intervention,"Over the past few months, are you willing to accept help right now?",2,Uncertain - Further assessment needed,Further Session Needed,2
Q0020,Crisis Intervention,Would you say are you having medication side effects?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0020,Crisis Intervention,Would you say are you having medication side effects?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0020,Crisis Intervention,Would you say are you having medication side effects?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0021,Crisis Intervention,Does this significantly impact you: is your heart racing uncontrollably?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0021,Crisis Intervention,Does this significantly impact you: is your heart racing uncontrollably?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0021,Crisis Intervention,Does this significantly impact you: is your heart racing uncontrollably?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0022,Crisis Intervention,To what degree are you in unbearable emotional pain?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0022,Crisis Intervention,To what degree are you in unbearable emotional pain?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0022,Crisis Intervention,To what degree are you in unbearable emotional pain?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0023,Crisis Intervention,"In the past month, have you used crisis services before?",0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0023,Crisis Intervention,"In the past month, have you used crisis services before?",1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0023,Crisis Intervention,"In the past month, have you used crisis services before?",2,Uncertain - Further assessment needed,Further Session Needed,2
Q0024,Crisis Intervention,"Over the past few months, do you feel detached from reality?",0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0024,Crisis Intervention,"Over the past few months, do you feel detached from reality?",1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0024,Crisis Intervention,"Over the past few months, do you feel detached from reality?",2,Uncertain - Further assessment needed,Further Session Needed,2
Q0025,Crisis Intervention,"In the past month, are you having medication side effects?",0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0025,Crisis Intervention,"In the past month, are you having medication side effects?",1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0025,Crisis Intervention,"In the past month, are you having medication side effects?",2,Uncertain - Further assessment needed,Further Session Needed,2
Q0026,Crisis Intervention,To what extent have you recently experienced a traumatic event?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0026,Crisis Intervention,To what extent have you recently experienced a traumatic event?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0026,Crisis Intervention,To what extent have you recently experienced a traumatic event?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0027,Crisis Intervention,"During difficult times, do you feel like you're losing touch with reality?",0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0027,Crisis Intervention,"During difficult times, do you feel like you're losing touch with reality?",1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0027,Crisis Intervention,"During difficult times, do you feel like you're losing touch with reality?",2,Uncertain - Further assessment needed,Further Session Needed,2
Q0028,Crisis Intervention,How severely do you have someone who can stay with you right now?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0028,Crisis Intervention,How severely do you have someone who can stay with you right now?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0028,Crisis Intervention,How severely do you have someone who can stay with you right now?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0029,Crisis Intervention,"Regarding your mental health, did something happen recently that deeply upset you?",0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0029,Crisis Intervention,"Regarding your mental health, did something happen recently that deeply upset you?",1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0029,Crisis Intervention,"Regarding your mental health, did something happen recently that deeply upset you?",2,Uncertain - Further assessment needed,Further Session Needed,2
Q0030,Crisis Intervention,Would you say are you willing to create a safety plan?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0030,Crisis Intervention,Would you say are you willing to create a safety plan?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0030,Crisis Intervention,Would you say are you willing to create a safety plan?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0031,Crisis Intervention,"Regarding your mental health, do you have a suicide plan?",0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0031,Crisis Intervention,"Regarding your mental health, do you have a suicide plan?",1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0031,Crisis Intervention,"Regarding your mental health, do you have a suicide plan?",2,Uncertain - Further assessment needed,Further Session Needed,2
Q0032,Crisis Intervention,How often is your heart racing uncontrollably?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0032,Crisis Intervention,How often is your heart racing uncontrollably?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0032,Crisis Intervention,How often is your heart racing uncontrollably?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0033,Crisis Intervention,To what degree have you made plans to harm yourself?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0033,Crisis Intervention,To what degree have you made plans to harm yourself?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0033,Crisis Intervention,To what degree have you made plans to harm yourself?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0034,Crisis Intervention,"When facing challenges, do you have a suicide plan?",0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0034,Crisis Intervention,"When facing challenges, do you have a suicide plan?",1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0034,Crisis Intervention,"When facing challenges, do you have a suicide plan?",2,Uncertain - Further assessment needed,Further Session Needed,2
Q0035,Crisis Intervention,How often do you need to go to the emergency room?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0035,Crisis Intervention,How often do you need to go to the emergency room?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0035,Crisis Intervention,How often do you need to go to the emergency room?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0036,Crisis Intervention,"When facing challenges, have you been in crisis before?",0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0036,Crisis Intervention,"When facing challenges, have you been in crisis before?",1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0036,Crisis Intervention,"When facing challenges, have you been in crisis before?",2,Uncertain - Further assessment needed,Further Session Needed,2
Q0037,Crisis Intervention,How much do you feel like you can't go on?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0037,Crisis Intervention,How much do you feel like you can't go on?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0037,Crisis Intervention,How much do you feel like you can't go on?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0038,Crisis Intervention,Are you having thoughts of harming someone else?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0038,Crisis Intervention,Are you having thoughts of harming someone else?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0038,Crisis Intervention,Are you having thoughts of harming someone else?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0039,Crisis Intervention,"During difficult times, are you experiencing paranoid thoughts?",0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0039,Crisis Intervention,"During difficult times, are you experiencing paranoid thoughts?",1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0039,Crisis Intervention,"During difficult times, are you experiencing paranoid thoughts?",2,Uncertain - Further assessment needed,Further Session Needed,2
Q0040,Crisis Intervention,"When facing challenges, do you feel dizzy or like you might faint?",0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0040,Crisis Intervention,"When facing challenges, do you feel dizzy or like you might faint?",1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0040,Crisis Intervention,"When facing challenges, do you feel dizzy or like you might faint?",2,Uncertain - Further assessment needed,Further Session Needed,2
Q0041,Crisis Intervention,"During difficult times, have you overdosed on any substance?",0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0041,Crisis Intervention,"During difficult times, have you overdosed on any substance?",1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0041,Crisis Intervention,"During difficult times, have you overdosed on any substance?",2,Uncertain - Further assessment needed,Further Session Needed,2
Q0042,Crisis Intervention,"In general, do you feel you might lose control and hurt someone?",0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0042,Crisis Intervention,"In general, do you feel you might lose control and hurt someone?",1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0042,Crisis Intervention,"In general, do you feel you might lose control and hurt someone?",2,Uncertain - Further assessment needed,Further Session Needed,2
Q0043,Crisis Intervention,"In your daily life, are you thinking about suicide?",0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0043,Crisis Intervention,"In your daily life, are you thinking about suicide?",1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0043,Crisis Intervention,"In your daily life, are you thinking about suicide?",2,Uncertain - Further assessment needed,Further Session Needed,2
Q0044,Crisis Intervention,"During difficult times, do you have the means to carry out self-harm?",0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0044,Crisis Intervention,"During difficult times, do you have the means to carry out self-harm?",1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0044,Crisis Intervention,"During difficult times, do you have the means to carry out self-harm?",2,Uncertain - Further assessment needed,Further Session Needed,2
Q0045,Crisis Intervention,"In the past month, are you experiencing paranoid thoughts?",0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0045,Crisis Intervention,"In the past month, are you experiencing paranoid thoughts?",1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0045,Crisis Intervention,"In the past month, are you experiencing paranoid thoughts?",2,Uncertain - Further assessment needed,Further Session Needed,2
Q0046,Crisis Intervention,Would you say do you feel like you're in a crisis situation?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0046,Crisis Intervention,Would you say do you feel like you're in a crisis situation?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0046,Crisis Intervention,Would you say do you feel like you're in a crisis situation?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0047,Crisis Intervention,Are you willing to create a safety plan?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0047,Crisis Intervention,Are you willing to create a safety plan?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0047,Crisis Intervention,Are you willing to create a safety plan?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0048,Crisis Intervention,"Regarding your mental health, are you in emotional distress that feels unbearable?",0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0048,Crisis Intervention,"Regarding your mental health, are you in emotional distress that feels unbearable?",1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0048,Crisis Intervention,"Regarding your mental health, are you in emotional distress that feels unbearable?",2,Uncertain - Further assessment needed,Further Session Needed,2
Q0049,Crisis Intervention,"In your daily life, do you have access to crisis support services?",0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0049,Crisis Intervention,"In your daily life, do you have access to crisis support services?",1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0049,Crisis Intervention,"In your daily life, do you have access to crisis support services?",2,Uncertain - Further assessment needed,Further Session Needed,2
Q0050,Crisis Intervention,"During difficult times, are you in emotional distress that feels unbearable?",0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0050,Crisis Intervention,"During difficult times, are you in emotional distress that feels unbearable?",1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0050,Crisis Intervention,"During difficult times, are you in emotional distress that feels unbearable?",2,Uncertain - Further assessment needed,Further Session Needed,2
Q0051,Crisis Intervention,How often are you experiencing a mental health crisis right now?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0051,Crisis Intervention,How often are you experiencing a mental health crisis right now?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0051,Crisis Intervention,How often are you experiencing a mental health crisis right now?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0052,Crisis Intervention,"When facing challenges, is there a trusted person you can call?",0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0052,Crisis Intervention,"When facing challenges, is there a trusted person you can call?",1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0052,Crisis Intervention,"When facing challenges, is there a trusted person you can call?",2,Uncertain - Further assessment needed,Further Session Needed,2
Q0053,Crisis Intervention,Would you say have you overdosed on any substance?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0053,Crisis Intervention,Would you say have you overdosed on any substance?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0053,Crisis Intervention,Would you say have you overdosed on any substance?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0054,Crisis Intervention,"Recently, are you seeing things that others don't see?",0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0054,Crisis Intervention,"Recently, are you seeing things that others don't see?",1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0054,Crisis Intervention,"Recently, are you seeing things that others don't see?",2,Uncertain - Further assessment needed,Further Session Needed,2
Q0055,Crisis Intervention,"In the past week, do you have a crisis plan?",0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0055,Crisis Intervention,"In the past week, do you have a crisis plan?",1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0055,Crisis Intervention,"In the past week, do you have a crisis plan?",2,Uncertain - Further assessment needed,Further Session Needed,2
Q0056,Crisis Intervention,"When facing challenges, do you feel like you can't breathe properly?",0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0056,Crisis Intervention,"When facing challenges, do you feel like you can't breathe properly?",1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0056,Crisis Intervention,"When facing challenges, do you feel like you can't breathe properly?",2,Uncertain - Further assessment needed,Further Session Needed,2
Q0057,Crisis Intervention,"Regarding your mental health, are you aware of crisis hotline numbers?",0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0057,Crisis Intervention,"Regarding your mental health, are you aware of crisis hotline numbers?",1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0057,Crisis Intervention,"Regarding your mental health, are you aware of crisis hotline numbers?",2,Uncertain - Further assessment needed,Further Session Needed,2
Q0058,Crisis Intervention,To what extent are you trembling or shaking?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0058,Crisis Intervention,To what extent are you trembling or shaking?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0058,Crisis Intervention,To what extent are you trembling or shaking?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0059,Crisis Intervention,Does this significantly impact you: are you in shock from a recent event?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0059,Crisis Intervention,Does this significantly impact you: are you in shock from a recent event?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0059,Crisis Intervention,Does this significantly impact you: are you in shock from a recent event?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0060,Crisis Intervention,"Over the past few months, do you feel like you're losing touch with reality?",0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0060,Crisis Intervention,"Over the past few months, do you feel like you're losing touch with reality?",1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0060,Crisis Intervention,"Over the past few months, do you feel like you're losing touch with reality?",2,Uncertain - Further assessment needed,Further Session Needed,2
Q0061,Crisis Intervention,"Regarding your mental health, can you reach out to someone for immediate help?",0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0061,Crisis Intervention,"Regarding your mental health, can you reach out to someone for immediate help?",1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0061,Crisis Intervention,"Regarding your mental health, can you reach out to someone for immediate help?",2,Uncertain - Further assessment needed,Further Session Needed,2
Q0062,Crisis Intervention,"In general, have you recently experienced a traumatic event?",0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0062,Crisis Intervention,"In general, have you recently experienced a traumatic event?",1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0062,Crisis Intervention,"In general, have you recently experienced a traumatic event?",2,Uncertain - Further assessment needed,Further Session Needed,2
Q0063,Crisis Intervention,Are you trembling or shaking?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0063,Crisis Intervention,Are you trembling or shaking?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0063,Crisis Intervention,Are you trembling or shaking?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0064,Crisis Intervention,To what extent are you in unbearable emotional pain?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0064,Crisis Intervention,To what extent are you in unbearable emotional pain?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0064,Crisis Intervention,To what extent are you in unbearable emotional pain?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0065,Crisis Intervention,Would you say have you used alcohol or drugs in the past 24 hours?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0065,Crisis Intervention,Would you say have you used alcohol or drugs in the past 24 hours?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0065,Crisis Intervention,Would you say have you used alcohol or drugs in the past 24 hours?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0066,Crisis Intervention,Does this significantly impact you: has there been a major life disruption in the past week?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0066,Crisis Intervention,Does this significantly impact you: has there been a major life disruption in the past week?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0066,Crisis Intervention,Does this significantly impact you: has there been a major life disruption in the past week?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0067,Crisis Intervention,Does this significantly impact you: are you aware of crisis hotline numbers?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0067,Crisis Intervention,Does this significantly impact you: are you aware of crisis hotline numbers?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0067,Crisis Intervention,Does this significantly impact you: are you aware of crisis hotline numbers?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0068,Crisis Intervention,Does this significantly impact you: have you been in crisis before?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0068,Crisis Intervention,Does this significantly impact you: have you been in crisis before?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0068,Crisis Intervention,Does this significantly impact you: have you been in crisis before?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0069,Crisis Intervention,"In general, do you need immediate medical attention?",0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0069,Crisis Intervention,"In general, do you need immediate medical attention?",1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0069,Crisis Intervention,"In general, do you need immediate medical attention?",2,Uncertain - Further assessment needed,Further Session Needed,2
Q0070,Crisis Intervention,"During difficult times, do you need immediate medical attention?",0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0070,Crisis Intervention,"During difficult times, do you need immediate medical attention?",1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0070,Crisis Intervention,"During difficult times, do you need immediate medical attention?",2,Uncertain - Further assessment needed,Further Session Needed,2
Q0071,Crisis Intervention,"In general, have you stopped eating or sleeping?",0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0071,Crisis Intervention,"In general, have you stopped eating or sleeping?",1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0071,Crisis Intervention,"In general, have you stopped eating or sleeping?",2,Uncertain - Further assessment needed,Further Session Needed,2
Q0072,Crisis Intervention,Can you commit to staying safe for the next 24 hours?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0072,Crisis Intervention,Can you commit to staying safe for the next 24 hours?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0072,Crisis Intervention,Can you commit to staying safe for the next 24 hours?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0073,Crisis Intervention,How much has your behavior changed drastically recently?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0073,Crisis Intervention,How much has your behavior changed drastically recently?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
Q0073,Crisis Intervention,How much has your behavior changed drastically recently?,2,Uncertain - Further assessment needed,Further Session Needed,2
Q0074,Crisis Intervention,To what degree do you need to go to the emergency room?,0,No - Patient is safe/stable,Stable - No abuse indicators,1
Q0074,Crisis Intervention,To what degree do you need to go to the emergency room?,1,Yes - Patient in danger/unstable,Not Stable - Abuse indicators present,0
